,-69
12985886,43,-86
12985887,15,-82
12985888,15,-69
12985889,43,-89
12985890,43,-84
12985891,43,-85
12985892,43,-86
12985893,43,-98
12985894,43,-85
12985895,80,-98
12985896,80,-85
12985897,15,-62
12985898,15,-98
12985899,15,-80
12985900,43,-76
12985901,43,-75
12985902,43,-71
12985903,80,-80
12985904,80,-95
12985905,15,-67
12985906,15,-70
12985907,43,-85
12985908,43,-63
12985909,43,-80
12985910,80,-87
12985911,80,-93
12985912,15,-77
12985913,15,-83
12985914,43,-74
12985915,43,-87
12985916,43,-81
12985917,15,-82
12985918,15,-65
12985919,43,-69
12985920,43,-90
12985921,43,-79
12985922,43,-85
12985923,43,-90
12985924,43,-92
12985925,80,-84
12985926,15,-63
12985927,15,-93
12985928,15,-96
12985929,15,-85
12985930,43,-85
12985931,43,-84
12985932,43,-86
12985933,43,-83
12985934,80,-79
12985935,80,-79
12985936,43,-94
12985937,43,-86
12985938,43,-86
12985939,43,-87
12985940,80,-93
12985941,80,-98
12985942,80,-100
12985943,15,-65
12985944,15,-97
12985945,15,-63
12985946,43,-81
12985947,43,-85
12985948,43,-82
12985949,43,-92
12985950,80,-79
12985951,80,-82
12985952,15,-83
12985953,15,-65
12985954,43,-76
12985955,43,-79
12985956,43,-76
12985957,80,-86
12985958,15,-76
12985959,15,-64
12985960,43,-67
12985961,43,-77
12985962,80,-79
12985963,15,-76
12985964,15,-65
12985965,43,-75
12985966,43,-81
12985967,43,-89
12985968,80,-97
12985969,80,-78
12985970,15,-64
12985971,43,-75
12985972,43,-90
12985973,43,-93
12985974,43,-72
12985975,80,-76
12985976,80,-80
12985977,15,-91
12985978,15,-96
12985979,43,-72
12985980,43,-91
12985981,43,-88
12985982,43,-99
12985983,43,-89
12985984,80,-91
12985985,15,-82
12985986,15,-64
12985987,43,-73
12985988,43,-88
12985989,43,-82
12985990,43,-82
12985991,80,-83
12985992,80,-79
12985993,80,-78
12985994,15,-83
12985995,15,-65
12985996,43,-89
12985997,43,-89
12985998,43,-95
12985999,43,-88
12986000,43,-88
12986001,43,-87
12986002,80,-87
12986003,15,-69
12986004,15,-78
12986005,43,-69
12986006,43,-90
12986007,43,-83
12986008,80,-92
12986009,80,-97
12986010,15,-90
12986011,15,-96
12986012,15,-81
12986013,43,-72
12986014,43,-72
12986015,43,-85
12986016,43,-99
12986017,80,-98
12986018,80,-103
12986019,15,-64
12986020,15,-68
12986021,43,-91
12986022,43,-88
12986023,43,-75
12986024,43,-89
12986025,15,-77
12986026,15,-81
12986027,43,-75
12986028,43,-86
12986029,80,-84
12986030,80,-81
12986031,80,-87
12986032,15,-78
12986033,15,-63
12986034,43,-93
12986035,43,-74
12986036,43,-73
12986037,43,-99
12986038,80,-93
12986039,80,-81
12986040,80,-97
12986041,15,-81
12986042,15,-83
12986043,15,-80
12986044,43,-76
12986045,43,-89
12986046,43,-99
12986047,43,-76
12986048,80,-96
12986049,80,-78
12986050,80,-85
12986051,15,-66
12986052,43,-88
12986053,43,-90
12986054,15,-64
12986055,43,-78
12986056,15,-95
12986057,15,-77
12986058,15,-80
12986059,43,-85
12986060,43,-67
12986061,80,-100
12986062,80,-86
12986063,80,-77
12986064,80,-80
12986065,15,-85
12986066,15,-78
12986067,43,-73
12986068,43,-77
12986069,43,-74
12986070,80,-81
12986071,80,-96
12986072,15,-84
12986073,43,-74
12986074,43,-80
12986075,15,-78
12986076,15,-68
12986077,43,-85
12986078,43,-71
12986079,80,-86
12986080,15,-62
12986081,15,-83
12986082,43,-77
12986083,43,-87
12986084,43,-80
12986085,43,-101
12986086,43,-78
12986087,15,-69
12986088,15,-79
12986089,43,-100
12986090,43,-82
12986091,43,-74
12986092,43,-82
12986093,80,-102
12986094,80,-84
12986095,15,-96
12986096,15,-95
12986097,43,-77
12986098,15,-68
12986099,43,-85
12986100,43,-83
12986101,43,-76
12986102,80,-91
12986103,15,-62
12986104,15,-68
12986105,15,-84
12986106,43,-74
12986107,43,-97
12986108,43,-76
12986109,80,-100
12986110,15,-65
12986111,43,-81
12986112,43,-84
12986113,43,-84
12986114,80,-86
12986115,80,-85
12986116,15,-87
12986117,15,-79
12986118,15,-62
12986119,43,-78
12986120,43,-85
12986121,43,-81
12986122,43,-96
12986123,43,-90
12986124,15,-78
12986125,15,-66
12986126,43,-83
12986127,43,-98
12986128,80,-98
12986129,15,-68
12986130,15,-76
12986131,43,-83
12986132,43,-70
12986133,43,-74
12986134,80,-94
12986135,15,-83
12986136,43,-84
12986137,43,-90
12986138,15,-95
12986139,15,-62
12986140,15,-98
12986141,43,-80
12986142,43,-91
12986143,43,-65
12986144,15,-83
12986145,15,-63
12986146,43,-86
12986147,43,-74
12986148,43,-74
12986149,43,-99
12986150,43,-78
12986151,80,-88
12986152,80,-80
12986153,15,-62
12986154,15,-86
12986155,15,-84
12986156,43,-96
12986157,43,-81
12986158,43,-83
12986159,15,-72
12986160,15,-64
12986161,43,-88
12986162,43,-86
12986163,43,-76
12986164,43,-80
12986165,43,-70
12986166,80,-85
12986167,80,-85
12986168,80,-87
12986169,15,-82
12986170,15,-95
12986171,43,-83
12986172,43,-71
12986173,43,-87
12986174,43,-95
12986175,43,-98
12986176,80,-88
12986177,80,-95
12986178,15,-79
12986179,15,-71
12986180,43,-71
12986181,43,-86
12986182,43,-86
12986183,43,-89
12986184,43,-79
12986185,80,-87
