,39,-76
12918006,6,-73
12918007,80,-75
12918008,80,-87
12918009,80,-85
12918010,15,-78
12918011,15,-67
12918012,15,-98
12918013,39,-74
12918014,39,-59
12918015,39,-73
12918016,39,-69
12918017,39,-100
12918018,39,-89
12918019,80,-95
12918020,80,-90
12918021,15,-80
12918022,39,-79
12918023,39,-89
12918024,39,-74
12918025,39,-76
12918026,39,-60
12918027,6,-77
12918028,6,-73
12918029,6,-73
12918030,80,-76
12918031,80,-83
12918032,80,-97
12918033,80,-62
12918034,15,-68
12918035,15,-99
12918036,15,-93
12918037,39,-87
12918038,39,-71
12918039,39,-74
12918040,39,-70
12918041,39,-73
12918042,39,-94
12918043,6,-75
12918044,6,-82
12918045,15,-72
12918046,15,-78
12918047,39,-98
12918048,39,-69
12918049,39,-80
12918050,6,-80
12918051,6,-88
12918052,6,-87
12918053,80,-81
12918054,80,-76
12918055,80,-83
12918056,80,-97
12918057,80,-91
12918058,80,-62
12918059,80,-80
12918060,15,-89
12918061,39,-69
12918062,39,-93
12918063,39,-85
12918064,39,-77
12918065,39,-71
12918066,39,-60
12918067,39,-80
12918068,39,-86
12918069,6,-72
12918070,80,-82
12918071,15,-71
12918072,15,-63
12918073,39,-88
12918074,39,-87
12918075,39,-95
12918076,39,-75
12918077,39,-86
12918078,6,-73
12918079,6,-75
12918080,6,-97
12918081,80,-93
12918082,80,-82
12918083,80,-92
12918084,80,-63
12918085,80,-76
12918086,15,-81
12918087,39,-102
12918088,39,-85
12918089,39,-96
12918090,39,-99
12918091,39,-69
12918092,39,-76
12918093,6,-80
12918094,6,-84
12918095,6,-82
12918096,80,-79
12918097,80,-67
12918098,80,-98
12918099,80,-91
12918100,80,-76
12918101,15,-85
12918102,15,-81
12918103,39,-94
12918104,39,-79
12918105,39,-90
12918106,6,-77
12918107,80,-93
12918108,80,-78
12918109,80,-93
12918110,80,-77
12918111,80,-89
12918112,15,-65
12918113,15,-79
12918114,39,-90
12918115,39,-91
12918116,39,-83
12918117,39,-80
12918118,39,-77
12918119,39,-81
12918120,6,-93
12918121,6,-98
12918122,6,-95
12918123,80,-67
12918124,80,-95
12918125,80,-81
12918126,80,-90
12918127,15,-84
12918128,39,-65
12918129,39,-97
12918130,39,-93
12918131,39,-88
12918132,39,-80
12918133,6,-75
12918134,6,-88
12918135,80,-88
12918136,15,-82
12918137,15,-65
12918138,39,-91
12918139,39,-69
12918140,39,-97
12918141,39,-77
12918142,39,-91
12918143,39,-77
12918144,15,-69
12918145,39,-82
12918146,39,-95
12918147,39,-82
12918148,39,-90
12918149,39,-95
12918150,6,-77
12918151,6,-83
12918152,6,-84
12918153,6,-90
12918154,80,-86
12918155,80,-86
12918156,80,-84
12918157,15,-98
12918158,15,-65
12918159,15,-94
12918160,39,-88
12918161,39,-60
12918162,39,-61
12918163,39,-89
12918164,39,-98
12918165,6,-74
12918166,6,-83
12918167,6,-87
12918168,80,-81
12918169,80,-76
12918170,80,-81
12918171,80,-85
12918172,80,-93
12918173,80,-78
12918174,15,-66
12918175,15,-69
12918176,39,-62
12918177,39,-83
12918178,39,-79
12918179,39,-86
12918180,39,-94
12918181,39,-90
12918182,80,-66
12918183,15,-84
12918184,15,-79
