6,-87
12940988,15,-85
12940989,15,-62
12940990,6,-79
12940991,80,-71
12940992,80,-87
12940993,6,-87
12940994,80,-87
12940995,80,-73
12940996,80,-92
12940997,15,-95
12940998,15,-79
12940999,6,-78
12941000,80,-91
12941001,6,-82
12941002,6,-78
12941003,80,-79
12941004,80,-85
12941005,80,-91
12941006,15,-63
12941007,6,-88
12941008,6,-77
12941009,6,-76
12941010,80,-73
12941011,80,-84
12941012,80,-81
12941013,15,-66
12941014,6,-96
12941015,6,-73
12941016,6,-80
12941017,6,-90
12941018,6,-92
12941019,6,-82
12941020,80,-93
12941021,80,-99
12941022,15,-85
12941023,15,-76
12941024,6,-68
12941025,6,-76
12941026,6,-86
12941027,6,-89
12941028,80,-80
12941029,80,-96
12941030,15,-78
12941031,15,-98
12941032,6,-81
12941033,6,-73
12941034,80,-93
12941035,80,-85
12941036,6,-92
12941037,15,-74
12941038,15,-69
12941039,6,-80
12941040,6,-83
12941041,6,-83
12941042,80,-84
12941043,15,-71
12941044,15,-85
12941045,6,-95
12941046,80,-75
12941047,80,-93
12941048,6,-70
12941049,80,-73
12941050,15,-69
12941051,15,-71
12941052,6,-80
12941053,6,-69
12941054,6,-75
12941055,80,-90
12941056,80,-102
12941057,15,-68
12941058,15,-64
12941059,15,-85
12941060,6,-71
12941061,6,-92
12941062,80,-98
12941063,80,-76
12941064,15,-85
12941065,15,-72
12941066,6,-81
12941067,6,-98
12941068,80,-84
12941069,80,-91
12941070,15,-76
12941071,6,-75
12941072,80,-77
12941073,80,-79
12941074,15,-84
12941075,15,-65
12941076,6,-81
12941077,6,-75
12941078,80,-72
12941079,15,-70
12941080,15,-62
12941081,6,-75
12941082,6,-92
12941083,6,-82
12941084,6,-75
12941085,80,-88
12941086,80,-102
12941087,80,-74
12941088,80,-80
12941089,15,-83
12941090,6,-72
12941091,6,-93
12941092,6,-82
12941093,80,-76
12941094,80,-81
12941095,15,-67
12941096,15,-85
12941097,6,-72
12941098,6,-84
12941099,6,-89
12941100,80,-76
12941101,80,-91
12941102,80,-92
12941103,15,-97
12941104,6,-81
12941105,6,-83
12941106,6,-73
12941107,6,-94
12941108,6,-88
12941109,80,-90
12941110,80,-91
12941111,80,-77
12941112,15,-85
12941113,15,-67
12941114,6,-93
12941115,80,-93
12941116,80,-93
12941117,6,-96
12941118,80,-88
12941119,15,-86
12941120,15,-86
12941121,6,-89
12941122,6,-91
12941123,6,-81
12941124,80,-73
12941125,80,-83
12941126,80,-92
12941127,6,-96
12941128,15,-87
12941129,15,-62
12941130,15,-81
12941131,6,-82
12941132,6,-76
12941133,80,-86
12941134,80,-90
12941135,80,-74
12941136,6,-66
12941137,15,-85
12941138,15,-85
12941139,6,-89
12941140,6,-75
12941141,15,-77
12941142,15,-67
12941143,6,-85
12941144,6,-89
12941145,6,-93
12941146,80,-88
12941147,80,-88
12941148,15,-82
12941149,15,-65
12941150,6,-81
12941151,6,-84
12941152,6,-86
12941153,80,-96
12941154,6,-102
12941155,15,-85
12941156,15,-70
12941157,6,-71
12941158,6,-88
12941159,80,-88
12941160,80,-75
12941161,80,-79
12941162,15,-78
12941163,15,-85
12941164,6,-88
12941165,6,-79
12941166,6,-85
12941167,6,-89
12941168,80,-83
12941169,80,-90
12941170,6,-81
12941171,15,-76
12941172,15,-73
12941173,6,-90
12941174,6,-85
12941175,6,-92
12941176,6,-85
12941177,80,-78
12941178,80,-76
12941179,80,-89
