,-76
12878115,80,-90
12878116,15,-76
12878117,15,-85
12878118,39,-82
12878119,39,-85
12878120,39,-84
12878121,96,-79
12878122,80,-77
12878123,80,-83
12878124,80,-83
12878125,80,-97
12878126,80,-82
12878127,80,-95
12878128,15,-64
12878129,15,-87
12878130,15,-72
12878131,39,-71
12878132,39,-84
12878133,6,-73
12878134,6,-86
12878135,6,-71
12878136,80,-83
12878137,80,-88
12878138,80,-97
12878139,15,-73
12878140,15,-88
12878141,39,-81
12878142,39,-79
12878143,39,-81
12878144,39,-96
12878145,6,-69
12878146,6,-72
12878147,6,-75
12878148,96,-40
12878149,96,-54
12878150,96,-58
12878151,96,-43
12878152,80,-72
12878153,80,-91
12878154,80,-93
12878155,80,-97
12878156,80,-75
12878157,15,-96
12878158,6,-93
12878159,15,-88
12878160,96,-42
12878161,39,-86
12878162,39,-86
12878163,39,-88
12878164,39,-78
12878165,6,-78
12878166,6,-88
12878167,6,-69
12878168,96,-98
12878169,96,-81
12878170,80,-96
12878171,80,-91
12878172,15,-70
12878173,15,-78
12878174,39,-78
12878175,39,-84
12878176,39,-93
12878177,39,-78
12878178,39,-70
12878179,39,-95
12878180,39,-88
12878181,6,-97
12878182,96,-90
12878183,80,-80
12878184,80,-96
12878185,15,-87
12878186,15,-67
12878187,15,-71
12878188,39,-79
12878189,39,-81
12878190,39,-93
12878191,39,-79
12878192,6,-67
12878193,6,-73
12878194,96,-82
12878195,80,-77
12878196,15,-86
12878197,15,-73
12878198,39,-93
12878199,39,-83
12878200,39,-87
12878201,39,-70
12878202,39,-86
12878203,39,-95
12878204,6,-84
12878205,6,-97
12878206,6,-97
12878207,6,-86
12878208,96,-94
12878209,80,-89
12878210,80,-89
12878211,15,-79
12878212,80,-82
12878213,15,-74
12878214,39,-75
12878215,39,-85
12878216,39,-83
12878217,6,-72
12878218,6,-84
12878219,6,-77
12878220,6,-89
12878221,96,-84
12878222,80,-88
12878223,15,-99
12878224,15,-90
12878225,80,-71
12878226,80,-90
12878227,39,-80
12878228,39,-85
12878229,39,-82
12878230,39,-91
12878231,39,-72
12878232,6,-74
12878233,6,-88
12878234,6,-88
12878235,80,-77
12878236,80,-80
12878237,80,-90
12878238,80,-82
12878239,15,-81
12878240,39,-74
12878241,39,-68
12878242,6,-87
12878243,6,-99
12878244,6,-73
12878245,96,-91
12878246,96,-76
12878247,15,-73
12878248,15,-89
12878249,39,-88
12878250,39,-83
12878251,39,-70
12878252,39,-91
12878253,6,-77
12878254,80,-68
12878255,80,-81
12878256,80,-92
12878257,15,-70
12878258,15,-73
12878259,39,-92
12878260,39,-83
12878261,6,-81
12878262,96,-93
12878263,80,-76
12878264,80,-84
12878265,80,-82
12878266,80,-87
12878267,15,-73
12878268,39,-83
12878269,39,-69
12878270,6,-75
12878271,6,-102
12878272,6,-70
12878273,6,-85
12878274,96,-95
12878275,6,-91
12878276,80,-78
12878277,80,-98
12878278,15,-70
12878279,15,-97
12878280,39,-75
12878281,6,-85
12878282,96,-99
12878283,96,-77
12878284,96,-45
12878285,96,-53
12878286,80,-86
12878287,80,-86
12878288,80,-84
12878289,80,-87
12878290,15,-81
12878291,15,-87
12878292,39,-72
12878293,39,-82
12878294,6,-78
12878295,6,-81
12878296,6,-79
12878297,6,-97
12878298,6,-86
12878299,96,-89
12878300,80,-88
12878301,80,-90
12878302,15,-69
12878303,15,-78
12878304,39,-95
12878305,39,-82
12878306,6,-79
12878307,96,-85
12878308,80,-86
12878309,80,-91
12878310,80,-102
12878311,80,-73
12878312,15,-92
12878313,15,-89
12878314,15,-74
12878315,39,-89
12878316,96,-75
12878317,96,-46
12878318,96,-69
12878319,80,-92
12878320,80,-97
12878321,80,-78
12878322,15,-79
12878323,39,-74
12878324,39,-73
12878325,39,-91
12878326,6,-74
12878327,6,-85
12878328,6,-85
12878329,96,-95
12878330,80,-81
12878331,96,-59
12878332,15,-88
12878333,15,-86
12878334,6,-83
12878335,6,-89
12878336,96,-95
12878337,15,-87
12878338,15,-68
12878339,39,-70
12878340,39,-81
12878341,80,-78
12878342,80,-92
12878343,80,-100
12878344,15,-87
12878345,15,-86
12878346,15,-85
12878347,39,-82
12878348,39,-89
12878349,39,-84
12878350,6,-70
12878351,6,-73
12878352,6,-86
12878353,96,-94
12878354,80,-82
12878355,15,-69
12878356,39,-69
12878357,39,-72
12878358,39,-79
12878359,39,-95
12878360,6,-78
12878361,6,-73
12878362,39,-91
12878363,6,-79
12878364,6,-73
12878365,96,-80
12878366,80,-87
12878367,80,-75
12878368,80,-85
12878369,15,-75
12878370,39,-82
12878371,39,-94
12878372,6,-88
12878373,39,-81
12878374,39,-83
12878375,39,-98
12878376,39,-81
12878377,80,-97
12878378,39,-82
12878379,96,-61
12878380,6,-71
12878381,6,-76
12878382,6,-93
12878383,80,-81
12878384,15,-83
12878385,15,-64
12878386,15,-79
12878387,39,-84
12878388,39,-70
12878389,39,-82
12878390,39,-84
12878391,39,-98
12878392,80,-91
12878393,39,-95
12878394,39,-91
12878395,6,-90
12878396,96,-100
12878397,96,-68
12878398,80,-79
12878399,15,-75
12878400,15,-77
12878401,39,-78
12878402,39,-87
12878403,96,-89
12878404,39,-74
12878405,6,-87
12878406,6,-84
12878407,96,-100
12878408,6,-76
12878409,80,-83
12878410,80,-88
12878411,80,-84
12878412,15,-91
12878413,80,-77
12878414,15,-79
12878415,39,-71
12878416,6,-82
12878417,96,-92
12878418,96,-80
12878419,96,-49
12878420,80,-86
12878421,80,-78
12878422,80,-83
12878423,96,-63
12878424,80,-87
12878425,80,-77
12878426,15,-76
12878427,15,-67
12878428,80,-81
12878429,39,-75
12878430,39,-74
12878431,39,-87
12878432,6,-77
12878433,6,-72
12878434,6,-92
12878435,96,-90
12878436,80,-82
12878437,80,-82
12878438,80,-92
12878439,15,-79
12878440,15,-85
12878441,15,-88
12878442,80,-92
12878443,6,-93
12878444,39,-84
12878445,96,-82
12878446,96,-97
12878447,96,-83
12878448,15,-86
12878449,15,-66
12878450,39,-95
12878451,39,-73
12878452,39,-97
12878453,39,-80
12878454,80,-91
12878455,6,-90
12878456,96,-83
12878457,80,-83
12878458,80,-81
12878459,15,-77
12878460,15,-69
12878461,39,-88
12878462,39,-82
12878463,6,-88
12878464,6,-82
12878465,6,-83
12878466,6,-84
12878467,6,-81
12878468,6,-94
12878469,96,-83
12878470,15,-87
12878471,80,-80
12878472,15,-73
12878473,39,-86
12878474,6,-87
12878475,96,-92
12878476,80,-79
12878477,80,-87
12878478,15,-75
12878479,15,-79
12878480,39,-79
12878481,39,-99
12878482,39,-86
12878483,39,-88
12878484,6,-87
12878485,6,-89
12878486,6,-86
12878487,6,-72
12878488,96,-88
12878489,6,-71
12878490,80,-83
12878491,15,-70
12878492,15,-76
12878493,15,-86
12878494,80,-78
12878495,39,-84
12878496,39,-75
12878497,6,-90
12878498,6,-81
12878499,6,-78
12878500,96,-74
12878501,80,-82
12878502,80,-85
12878503,80,-83
12878504,80,-84
12878505,15,-82
12878506,15,-92
12878507,39,-70
12878508,39,-93
12878509,39,-70
12878510,6,-85
12878511,80,-81
12878512,80,-83
12878513,15,-85
12878514,15,-78
12878515,39,-79
12878516,39,-77
12878517,39,-86
12878518,39,-74
12878519,6,-74
12878520,6,-97
12878521,6,-72
12878522,6,-89
12878523,80,-83
12878524,80,-93
12878525,15,-67
12878526,15,-79
12878527,39,-86
12878528,39,-81
12878529,39,-84
12878530,6,-74
12878531,6,-90
12878532,6,-85
12878533,96,-43
12878534,96,-83
12878535,96,-77
12878536,96,-89
12878537,96,-95
12878538,96,-71
12878539,80,-76
12878540,15,-72
12878541,15,-73
12878542,39,-75
12878543,39,-78
12878544,39,-85
12878545,6,-67
12878546,6,-77
12878547,6,-87
12878548,80,-79
12878549,80,-91
12878550,80,-78
12878551,80,-81
12878552,15,-71
12878553,39,-82
12878554,6,-80
12878555,6,-83
12878556,80,-82
12878557,80,-96
12878558,80,-84
12878559,80,-85
12878560,96,-51
12878561,96,-81
12878562,15,-86
12878563,15,-86
12878564,15,-86
12878565,39,-83
12878566,39,-83
12878567,39,-78
12878568,96,-84
12878569,80,-93
12878570,15,-78
12878571,6,-92
12878572,6,-86
12878573,96,-98
12878574,80,-89
12878575,80,-80
12878576,80,-91
12878577,15,-95
12878578,96,-68
12878579,39,-87
12878580,39,-83
12878581,39,-86
12878582,39,-85
12878583,39,-69
12878584,96,-61
12878585,15,-68
12878586,15,-64
12878587,39,-75
12878588,39,-81
12878589,6,-77
12878590,6,-89
12878591,6,-70
12878592,96,-60
12878593,96,-74
12878594,80,-74
12878595,80,-88
12878596,80,-85
12878597,15,-86
12878598,15,-96
12878599,39,-77
12878600,39,-92
12878601,39,-82
12878602,39,-72
12878603,39,-86
12878604,39,-84
12878605,6,-95
12878606,6,-79
12878607,80,-76
12878608,80,-80
12878609,80,-90
12878610,80,-72
12878611,15,-67
12878612,15,-67
12878613,39,-86
12878614,39,-71
12878615,6,-94
12878616,6,-82
12878617,96,-84
12878618,80,-81
12878619,80,-87
12878620,80,-86
12878621,80,-96
12878622,15,-73
12878623,15,-88
12878624,15,-75
12878625,96,-71
12878626,39,-80
12878627,39,-93
12878628,39,-70
12878629,39,-98
12878630,39,-81
12878631,6,-83
12878632,6,-86
12878633,6,-74
12878634,96,-83
12878635,80,-89
12878636,15,-79
12878637,6,-73
12878638,6,-91
12878639,6,-74
12878640,6,-74
12878641,96,-74
12878642,80,-94
12878643,80,-73
12878644,15,-87
12878645,15,-76
12878646,39,-97
12878647,39,-70
12878648,39,-83
12878649,39,-78
12878650,39,-85
12878651,6,-84
12878652,6,-73
12878653,6,-76
12878654,6,-86
12878655,15,-68
12878656,15,-70
12878657,6,-85
12878658,6,-82
12878659,6,-86
12878660,6,-83
12878661,96,-81
12878662,80,-68
12878663,80,-96
12878664,15,-76
12878665,39,-80
12878666,39,-88
12878667,39,-82
12878668,39,-92
12878669,39,-87
12878670,6,-70
12878671,6,-77
12878672,6,-77
12878673,96,-86
12878674,80,-84
12878675,80,-92
12878676,80,-87
12878677,15,-87
12878678,15,-74
12878679,39,-83
12878680,39,-86
12878681,39,-94
12878682,96,-92
12878683,96,-82
12878684,96,-77
12878685,80,-78
12878686,80,-74
12878687,15,-80
12878688,39,-92
12878689,39,-87
12878690,6,-96
12878691,6,-92
12878692,6,-85
12878693,6,-79
12878694,80,-79
12878695,80,-92
12878696,80,-86
12878697,15,-75
12878698,15,-71
12878699,39,-86
12878700,39,-73
12878701,6,-71
12878702,6,-86
12878703,6,-76
12878704,96,-70
12878705,96,-86
12878706,80,-88
12878707,80,-95
12878708,80,-89
12878709,80,-75
12878710,15,-79
12878711,15,-72
12878712,39,-92
12878713,39,-76
12878714,6,-79
12878715,6,-93
12878716,6,-93
12878717,6,-85
12878718,96,-83
12878719,80,-94
12878720,80,-95
12878721,80,-85
12878722,15,-88
12878723,39,-89
12878724,39,-74
12878725,39,-86
12878726,6,-70
12878727,6,-70
12878728,96,-83
12878729,96,-105
12878730,6,-80
12878731,80,-100
12878732,15,-65
12878733,39,-78
12878734,39,-95
12878735,39,-85
12878736,6,-75
12878737,6,-74
12878738,6,-87
12878739,6,-88
12878740,96,-81
12878741,96,-77
12878742,96,-96
12878743,80,-94
12878744,80,-91
12878745,15,-85
12878746,6,-81
12878747,6,-83
12878748,96,-98
12878749,6,-95
12878750,96,-90
12878751,80,-83
12878752,15,-78
12878753,15,-72
12878754,39,-91
12878755,39,-68
12878756,39,-99
12878757,6,-73
12878758,6,-78
12878759,6,-89
12878760,6,-76
12878761,6,-83
12878762,6,-88
12878763,96,-93
12878764,96,-86
12878765,96,-91
12878766,93,-82
12878767,96,-84
12878768,80,-68
12878769,80,-76
12878770,80,-79
12878771,15,-86
12878772,15,-89
12878773,39,-84
12878774,39,-69
12878775,39,-71
12878776,39,-88
12878777,6,-82
12878778,6,-94
12878779,6,-85
12878780,6,-74
12878781,96,-98
12878782,6,-70
12878783,96,-96
12878784,80,-94
12878785,80,-94
12878786,15,-76
12878787,15,-69
12878788,39,-71
12878789,39,-98
12878790,39,-76
12878791,39,-85
12878792,6,-71
12878793,6,-85
12878794,6,-73
12878795,6,-81
12878796,96,-88
12878797,96,-67
12878798,96,-62
12878799,80,-64
12878800,80,-86
12878801,80,-83
12878802,80,-90
12878803,80,-88
12878804,80,-92
12878805,15,-74
12878806,15,-84
12878807,39,-86
12878808,39,-68
12878809,39,-84
12878810,96,-88
12878811,6,-73
12878812,6,-71
12878813,6,-86
12878814,6,-86
12878815,96,-99
12878816,96,-92
12878817,80,-80
12878818,80,-92
12878819,80,-90
12878820,80,-103
12878821,80,-96
12878822,80,-82
12878823,15,-85
12878824,15,-67
12878825,15,-87
12878826,39,-76
12878827,39,-97
12878828,39,-73
12878829,39,-86
12878830,39,-67
12878831,39,-68
12878832,39,-71
12878833,39,-83
12878834,39,-70
12878835,39,-73
12878836,39,-96
12878837,39,-76
12878838,39,-76
12878839,39,-69
12878840,39,-71
12878841,39,-88
12878842,39,-71
12878843,39,-83
12878844,39,-74
12878845,39,-93
12878846,39,-77
12878847,39,-82
12878848,39,-80
12878849,39,-78
12878850,39,-92
12878851,39,-68
12878852,39,-76
12878853,39,-80
12878854,39,-80
12878855,39,-70
12878856,39,-80
12878857,39,-65
12878858,39,-70
12878859,39,-66
12878860,39,-92
12878861,39,-77
12878862,39,-68
12878863,39,-79
12878864,39,-65
12878865,39,-85
12878866,39,-80
12878867,39,-74
12878868,39,-85
12878869,39,-80
12878870,39,-83
12878871,39,-69
12878872,39,-71
12878873,39,-73
12878874,39,-73
12878875,39,-86
12878876,39,-85
12878877,39,-89
12878878,39,-72
12878879,39,-77
12878880,39,-85
12878881,39,-69
12878882,39,-72
12878883,6,-70
12878884,6,-74
12878885,96,-61
12878886,96,-90
12878887,80,-73
12878888,80,-87
12878889,80,-92
12878890,80,-81
12878891,80,-90
12878892,15,-74
12878893,15,-88
12878894,6,-73
12878895,96,-88
12878896,96,-88
12878897,80,-86
12878898,80,-78
12878899,80,-90
12878900,80,-94
12878901,80,-77
12878902,80,-67
12878903,15,-72
12878904,15,-66
12878905,39,-86
12878906,39,-92
12878907,6,-95
12878908,6,-73
12878909,6,-72
12878910,6,-81
12878911,39,-86
12878912,15,-85
12878913,15,-73
12878914,39,-83
12878915,39,-94
12878916,39,-69
12878917,6,-88
12878918,6,-98
12878919,6,-85
12878920,6,-71
12878921,6,-70
12878922,96,-88
12878923,80,-84
12878924,80,-79
12878925,80,-78
12878926,80,-85
12878927,80,-77
12878928,80,-85
12878929,15,-73
12878930,15,-91
12878931,39,-89
12878932,39,-83
12878933,93,-94
12878934,96,-94
12878935,6,-87
12878936,6,-84
12878937,6,-86
12878938,80,-81
12878939,80,-67
12878940,80,-90
12878941,80,-87
12878942,80,-85
12878943,15,-89
12878944,39,-92
12878945,39,-69
12878946,39,-80
12878947,6,-70
12878948,6,-101
12878949,6,-84
12878950,96,-84
12878951,80,-67
12878952,80,-78
12878953,80,-85
12878954,80,-85
12878955,80,-97
12878956,80,-75
12878957,15,-74
12878958,15,-85
12878959,39,-79
12878960,39,-70
12878961,39,-78
12878962,39,-73
12878963,39,-88
12878964,39,-69
12878965,80,-78
12878966,80,-83
12878967,80,-89
12878968,80,-79
12878969,80,-69
12878970,15,-76
12878971,15,-86
12878972,15,-64
12878973,39,-74
12878974,39,-86
12878975,39,-85
12878976,39,-77
12878977,39,-99
12878978,39,-72
12878979,39,-98
12878980,39,-73
12878981,6,-84
12878982,6,-96
12878983,80,-87
12878984,80,-77
12878985,15,-71
12878986,80,-84
12878987,39,-75
12878988,6,-89
12878989,6,-77
12878990,96,-85
12878991,96,-84
12878992,96,-89
12878993,96,-83
12878994,96,-86
12878995,80,-92
12878996,80,-85
12878997,15,-81
12878998,15,-75
12878999,39,-89
12879000,39,-82
12879001,39,-76
12879002,39,-85
12879003,39,-94
12879004,39,-73
12879005,39,-75
12879006,96,-81
12879007,96,-102
12879008,96,-75
12879009,80,-79
12879010,80,-73
12879011,80,-91
12879012,80,-89
12879013,80,-83
12879014,15,-74
12879015,15,-87
12879016,15,-86
12879017,39,-85
12879018,39,-66
12879019,39,-97
12879020,39,-85
12879021,6,-87
12879022,6,-72
12879023,6,-86
12879024,6,-75
12879025,96,-76
12879026,80,-81
12879027,80,-89
12879028,80,-89
12879029,80,-78
12879030,39,-74
12879031,39,-85
12879032,39,-87
12879033,39,-79
12879034,39,-79
12879035,39,-75
12879036,39,-78
12879037,15,-90
12879038,6,-83
12879039,6,-78
12879040,6,-76
12879041,6,-89
12879042,96,-72
12879043,80,-76
12879044,80,-79
12879045,80,-85
12879046,80,-78
12879047,15,-72
12879048,15,-85
12879049,15,-84
12879050,39,-88
12879051,39,-78
12879052,39,-92
12879053,39,-85
12879054,39,-82
12879055,6,-90
12879056,6
