,-76
12837107,6,-78
12837108,15,-75
12837109,93,-87
12837110,93,-69
12837111,93,-79
12837112,6,-73
12837113,6,-78
12837114,15,-76
12837115,15,-85
12837116,93,-94
12837117,93,-60
12837118,15,-71
12837119,93,-94
12837120,93,-70
12837121,6,-72
12837122,15,-87
12837123,15,-71
12837124,15,-89
12837125,93,-89
12837126,93,-75
12837127,6,-72
12837128,6,-87
12837129,6,-75
12837130,15,-74
12837131,15,-82
12837132,6,-97
12837133,73,-89
12837134,93,-55
12837135,93,-94
12837136,93,-95
12837137,6,-90
12837138,6,-70
12837139,15,-87
12837140,15,-73
12837141,93,-73
12837142,93,-103
12837143,6,-92
12837144,6,-85
12837145,6,-72
12837146,6,-72
12837147,15,-86
12837148,15,-67
12837149,93,-56
12837150,93,-83
12837151,6,-87
12837152,6,-71
12837153,15,-73
12837154,93,-55
12837155,93,-79
12837156,93,-81
12837157,6,-92
12837158,6,-87
12837159,15,-73
12837160,6,-83
12837161,15,-69
12837162,93,-56
12837163,93,-79
12837164,93,-81
12837165,6,-84
12837166,6,-75
12837167,6,-78
12837168,6,-78
12837169,15,-79
12837170,15,-84
12837171,93,-90
12837172,93,-60
12837173,39,-93
12837174,6,-72
12837175,15,-73
12837176,39,-77
12837177,39,-81
12837178,39,-77
12837179,93,-82
12837180,93,-72
12837181,6,-72
12837182,15,-67
12837183,15,-98
12837184,39,-89
12837185,39,-78
12837186,39,-85
12837187,39,-81
12837188,93,-91
12837189,93,-88
12837190,93,-60
12837191,6,-88
12837192,6,-75
12837193,6,-73
12837194,15,-82
12837195,15,-88
12837196,39,-72
12837197,39,-82
12837198,39,-86
12837199,6,-80
12837200,6,-77
12837201,6,-76
12837202,15,-67
12837203,15,-87
12837204,15,-74
12837205,39,-77
12837206,39,-76
12837207,39,-92
12837208,39,-92
12837209,93,-80
12837210,93,-76
12837211,6,-81
12837212,6,-87
12837213,6,-69
12837214,15,-74
12837215,15,-83
12837216,39,-83
12837217,39,-96
12837218,39,-95
12837219,39,-86
12837220,93,-57
