,-90
12835074,15,-65
12835075,15,-99
12835076,15,-90
12835077,93,-51
12835078,93,-83
12835079,93,-83
12835080,6,-91
12835081,6,-76
12835082,6,-89
12835083,15,-75
12835084,15,-66
12835085,6,-80
12835086,93,-79
12835087,93,-51
12835088,6,-76
12835089,6,-89
12835090,15,-82
12835091,93,-84
12835092,93,-67
12835093,15,-87
12835094,15,-81
12835095,93,-89
12835096,93,-51
12835097,93,-89
12835098,93,-76
12835099,6,-83
12835100,15,-91
12835101,15,-64
12835102,93,-84
12835103,93,-68
12835104,93,-93
12835105,6,-96
12835106,15,-80
12835107,93,-79
12835108,93,-67
12835109,93,-75
12835110,15,-64
12835111,15,-91
12835112,93,-68
12835113,6,-94
12835114,6,-76
12835115,6,-99
12835116,6,-81
12835117,15,-69
12835118,15,-74
12835119,93,-76
12835120,93,-89
12835121,93,-51
12835122,93,-94
12835123,6,-83
12835124,6,-90
12835125,15,-67
12835126,15,-97
12835127,93,-52
12835128,6,-86
12835129,6,-91
12835130,6,-90
12835131,6,-96
12835132,93,-66
12835133,93,-99
12835134,93,-93
12835135,6,-80
12835136,6,-83
12835137,15,-63
12835138,15,-101
12835139,93,-49
12835140,93,-90
12835141,6,-83
12835142,6,-71
12835143,6,-84
12835144,6,-91
12835145,15,-85
12835146,15,-78
12835147,93,-50
12835148,93,-97
12835149,93,-81
12835150,6,-69
12835151,15,-79
12835152,93,-90
12835153,15,-65
12835154,15,-70
12835155,93,-50
12835156,93,-87
12835157,93,-83
12835158,6,-76
12835159,6,-99
12835160,6,-94
12835161,15,-64
12835162,93,-75
12835163,93,-80
12835164,93,-49
12835165,6,-88
12835166,15,-69
12835167,15,-77
12835168,93,-82
12835169,93,-50
12835170,6,-68
12835171,6,-84
12835172,93,-49
12835173,93,-88
12835174,93,-78
12835175,6,-74
12835176,6,-77
12835177,15,-65
12835178,15,-74
12835179,93,-68
12835180,93,-82
12835181,6,-75
12835182,6,-71
12835183,6,-79
12835184,15,-67
12835185,15,-89
12835186,93,-77
12835187,93,-50
12835188,6,-86
12835189,6,-72
12835190,15,-94
12835191,15,-79
12835192,93,-66
12835193,6,-72
12835194,6,-89
12835195,6,-81
12835196,93,-89
12835197,15,-88
12835198,15,-63
12835199,93,-79
12835200,93,-49
